uuid,jan,name,maker,series,grade,scale,status,memo,updatedAt,sheet_updated_at
4CD5F886-E746-41F1-A65D-94170CC159F0,,RX-0 ユニコーンガンダム,BANDAI,機動戦士ガンダムUC,RG,1/144,完成,,2025-12-19T21:54:03Z,
CC13F80F-3B3C-4929-AF69-080BCC71D856,,ベアッガイオハナ&アロハロ セット,BANDAI,ガンダムビルドメタバース,HG,1/144,制作中,,2025-12-19T21:54:03Z,
39D4C59C-3C0B-4740-9041-D76B22642439,,MSM-10 ゾック,BANDAI,機動戦士ガンダム,HG,1/144,いつか手に入れたい,,2025-12-20T04:22:14Z,
23657C2A-4B66-4FD6-AFA4-EC110F41E8F4,,HG 1/144 ザクII C-6/R6型 プラモデル 『機動戦士ガンダム THE ORIGIN』（,BANDAI,,HG,1/144,いつか手に入れたい,,2025-12-20T05:29:25Z,
C8991DBC-054F-4620-ADA2-F7DD3380E9C1,,ＨＧ 1/144 量産型ザク＋ビッグ・ガン （ガンダムサンダーボルト版 ...,BANDAI,,不明,1/144,いつか手に入れたい,,2025-12-20T05:30:17Z,
8B5852D1-C761-43D9-9965-2385C65B5E9A,,HGUC 065 1/144 ヅダ バンダイスピリッツ,BANDAI,,HG,1/144,いつか手に入れたい,,2025-12-20T05:30:45Z,
0F01F04D-335F-470C-BC45-9C2FD056EE35,,RG 機動戦士ガンダムSEED ZGMF X10A フリーダムガンダム 1/144スケール 色分け済みプラモデル Bandai H,BANDAI,,RG,1/144,いつか手に入れたい,,2025-12-20T05:31:21Z,
C8658ADA-3628-474B-98DA-7EBF560308F3,,HG 機動戦士ガンダム THE ORIGIN ザクI (シャア・アズナブル機) 1/144スケール プラモデルおもちゃ ガンプラ プラモデル 8歳,BANDAI,,HG,1/144,いつか手に入れたい,,2025-12-20T05:31:51Z,
B3503349-B43F-4121-8454-A59DEFE984E8,,HG 機動戦士ガンダム THE ORIGIN ガンキャノン 最初期型 (鉄騎兵中隊機) 1/144スケール プラモデルおもちゃ ガンプラ プラモデル 8歳,BANDAI,,HG,1/144,いつか手に入れたい,,2025-12-20T05:32:24Z,
C808E086-5383-4EBD-8F95-81AD856D924A,,HG 1/144 『機動戦士ガンダム THE ORIGIN MSD』 ドム試作実験機 プラモデル バンダイ,BANDAI,,HG,1/144,いつか手に入れたい,,2025-12-20T05:32:51Z,
FF59B1B1-8B13-4A47-B57B-853258B04301,,HG 機動戦士ガンダム00 1/144 ガンダムデュナメス プラモデル（,BANDAI,,HG,1/144,いつか手に入れたい,,2025-12-20T05:33:45Z,
3ADFE584-341C-4A21-A8F1-BD537636F43E,,HG 1/144 GNR-101A GNアーチャー (ガンアーチャー) プラモデル 機動戦士ガンダム00 バンダイスピリッツ （ZP129530）,BANDAI,,HG,1/144,いつか手に入れたい,,2025-12-20T05:34:49Z,
9ADF6321-AE6C-42E9-A089-85C190526DC3,,HG 1/144 GN-003 ガンダムキュリオス プラモデル 機動戦士ガンダム00 バンダイスピリッツ （ZP140209）,BANDAI,,HG,1/144,いつか手に入れたい,,2025-12-20T05:40:47Z,
DCF923AB-1240-4813-9F8E-4C5520A9DA96,,HG 機動戦士ガンダム00 アリオスガンダム GNHW/M(ジーエヌヘビーウェポン/エヌ) 1/144スケール 色分け済み,BANDAI,,HG,1/144,いつか手に入れたい,,2025-12-20T05:41:17Z,
BD858664-FCB6-4869-918E-D7046C9B8528,,ボール (Ver.Ka),BANDAI,,MG,,いつか手に入れたい,,2025-12-20T05:42:58Z,
BC8CDF67-A39E-40A7-AD07-7489DCD7224D,,MSM-04G ジュアッグ(ユニコーンVer.,,,HG,1/144,いつか手に入れたい,,2025-12-20T05:44:03Z,
